10:00:49.026 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,325] - Bean 'druidStatAdvisor' of type [org.springframework.aop.support.DefaultPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:00:49.061 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,325] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3c4ff5b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:00:49.184 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,325] - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$4cd73579] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:00:49.605 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - [initialize,89] - Tomcat initialized with port(s): 7080 (http)
10:00:49.612 [restartedMain] INFO  o.a.c.c.StandardService - [log,179] - Starting service Tomcat
10:00:49.612 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,179] - Starting Servlet Engine: Apache Tomcat/8.5.14
10:00:49.683 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,179] - Initializing Spring embedded WebApplicationContext
10:00:49.683 [localhost-startStop-1] INFO  o.s.w.c.ContextLoader - [prepareEmbeddedWebApplicationContext,276] - Root WebApplicationContext: initialization completed in 2314 ms
10:00:50.091 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - [onStartup,190] - Mapping servlet: 'statViewServlet' to [/druid/*]
10:00:50.092 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - [onStartup,190] - Mapping servlet: 'dispatcherServlet' to [/]
10:00:50.095 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,258] - Mapping filter: 'characterEncodingFilter' to: [/*]
10:00:50.095 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,258] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
10:00:50.095 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,258] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
10:00:50.095 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,258] - Mapping filter: 'requestContextFilter' to: [/*]
10:00:50.095 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,271] - Mapping filter: 'webStatFilter' to urls: [/*]
10:00:50.095 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,271] - Mapping filter: 'xssFilter' to urls: [/*]
10:00:50.096 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - [configure,258] - Mapping filter: 'shiroFilter' to: [/*]
10:00:51.192 [restartedMain] INFO  c.a.d.p.DruidDataSource - [init,785] - {dataSource-1} inited
10:00:52.472 [restartedMain] INFO  c.a.d.p.DruidDataSource - [close,1514] - {dataSource-1} closed
10:00:52.473 [restartedMain] INFO  o.s.c.e.EhCacheManagerFactoryBean - [destroy,187] - Shutting down EhCache CacheManager
10:00:52.479 [restartedMain] INFO  o.a.c.c.StandardService - [log,179] - Stopping service Tomcat
10:00:52.490 [restartedMain] INFO  o.s.b.a.l.AutoConfigurationReportLoggingInitializer - [logAutoConfigurationReport,101] - 

Error starting ApplicationContext. To display the auto-configuration report re-run your application with 'debug' enabled.
10:03:21.962 [restartedMain] INFO  c.a.g.GenApplication - [logStarting,48] - Starting GenApplication on PS2022DXPOWVNC with PID 125680 (started by Admin in E:\code\代码自动生成\开发中心\dev-center)
10:03:21.971 [restartedMain] INFO  c.a.g.GenApplication - [logStartupProfileInfo,641] - The following profiles are active: dev
10:03:22.000 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - [prepareRefresh,582] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4ead6754: startup date [Wed May 31 10:03:22 CST 2023]; root of context hierarchy
10:03:22.084 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,30] - HV000001: Hibernate Validator 5.3.5.Final
